year_actual,Year,salmon_imports
1990,1,35946.86657
1991,2,39709.15322
1992,3,48843.22404
1993,4,62864.65523
1994,5,68252.01947
1995,6,80211.52282
1996,7,88018.52143
1997,8,98719.25617
1998,9,107302.0061
1999,10,114614.5036
2000,11,119365.9711
2001,12,132600.9717
2002,13,149083.3651
2003,14,132801.0346
2004,15,121723.9091
2005,16,142244.1493
2006,17,171848.4066
2007,18,178777.6548
2008,19,182928.6912
2009,20,198259.8376
2010,21,203912.6913
2011,22,192231.2172
2012,23,222312.8766
2013,24,190426.593
2014,25,172282.7722
2015,26,236674.1194
2016,27,239287.6084
2017,28,262434.1993
